Title,Speaker,Date Posted,Link
"""Ode to the Only Black Kid in the Class""",Clint Smith,Sep 2019,https://www.ted.com/talks/clint_smith_ode_to_the_only_black_kid_in_the_class
"""Once There Was III"" — a mesmerizing blend of dance, animation and tech",Nina McNeely,Aug 2022,https://www.ted.com/talks/nina_mcneely_once_there_was_iii_a_mesmerizing_blend_of_dance_animation_and_tech
"""Part II. The Journey Through Time"" / ""Ruslan and Lyudmila""",Deutsche Philharmonie Merck,Jan 2019,https://www.ted.com/talks/deutsche_philharmonie_merck_part_ii_the_journey_through_time_ruslan_and_lyudmila
"""Peaceful Afternoon"" / ""Going To A Town""",Rufus Wainwright,Jul 2020,https://www.ted.com/talks/rufus_wainwright_peaceful_afternoon_going_to_a_town
"""RainMakers""",Qudus Onikeku and The QTribe,Apr 2018,https://www.ted.com/talks/qudus_onikeku_and_the_qtribe_rainmakers
"""Rebelosis"" / ""Rebel Rock"" / ""Rebel on That Level""",The Soul Rebels,Sep 2018,https://www.ted.com/talks/the_soul_rebels_rebelosis_rebel_rock_rebel_on_that_level
"""Redemption Song""",John Legend,Jul 2016,https://www.ted.com/talks/john_legend_redemption_song
"""Rollercoaster""",Sara Ramirez,Mar 2017,https://www.ted.com/talks/sara_ramirez_rollercoaster
"""Ruiseñor"" / ""No Hay Vuelta Atrás""",Flor de Toloache,May 2019,https://www.ted.com/talks/flor_de_toloache_ruisenor_no_hay_vuelta_atras
"""STILL C U"" / ""Figures""",Jessie Reyez,Jun 2023,https://www.ted.com/talks/jessie_reyez_still_c_u_figures
"""San Francisco""",The Ferocious Few,Feb 2018,https://www.ted.com/talks/the_ferocious_few_san_francisco
"""Say What!"" / ""Nervous""",Tolliver,Aug 2023,https://www.ted.com/talks/tolliver_say_what_nervous
"""Shadow""",Kesha,Nov 2020,https://www.ted.com/talks/kesha_shadow
"""Sleep Sleep Beauty Bright""",Martha Redbone,Nov 2019,https://www.ted.com/talks/martha_redbone_sleep_sleep_beauty_bright
"""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",Nov 2016,https://www.ted.com/talks/amanda_palmer_jherek_bischoff_usman_riaz_space_oddity
"""Spiritual Leader"" / ""Audacious"" (ft. KAZU)",Ian Chang,Sep 2022,https://www.ted.com/talks/ian_chang_spiritual_leader_audacious_ft_kazu
"""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,Oct 2016,https://www.ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues
"""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,Sep 2019,https://www.ted.com/talks/anthony_veneziale_stumbling_towards_intimacy_an_improvised_ted_talk
"""TRY""",Madison McFerrin,Jan 2021,https://www.ted.com/talks/madison_mcferrin_try
"""Taranta"" / ""Calblanque""",Antonio Muñoz Fernández,Sep 2020,https://www.ted.com/talks/antonio_munoz_fernandez_taranta_calblanque
"""The Coming Out Beauty"" / ""419 sq ft""",Muslim Sahib,Sep 2018,https://www.ted.com/talks/muslim_sahib_the_coming_out_beauty_419_sq_ft
"""The Hill We Climb""",Amanda Gorman,Jan 2021,https://www.ted.com/talks/amanda_gorman_the_hill_we_climb
"""The Last Serenade""",Lili Haydn,Jul 2018,https://www.ted.com/talks/lili_haydn_the_last_serenade
"""The Muse"" / ""Spring Song""",Sheku Kanneh-Mason and Isata Kanneh-Mason,Sep 2020,https://www.ted.com/talks/sheku_kanneh_mason_and_isata_kanneh_mason_the_muse_spring_song
"""The Nutritionist""",Andrea Gibson,May 2019,https://www.ted.com/talks/andrea_gibson_the_nutritionist
"""The Rich Man's House"" / ""Woke Up This Morning (With My Mind Stayed on Freedom)""",Resistance Revival Chorus,Jun 2019,https://www.ted.com/talks/resistance_revival_chorus_the_rich_man_s_house_woke_up_this_morning_with_my_mind_stayed_on_freedom
"""The Road Not Taken""",Robert Frost,Jun 2019,https://www.ted.com/talks/robert_frost_the_road_not_taken
"""The Sacred Art of the Ori""",Laolu Senbanjo,Aug 2017,https://www.ted.com/talks/laolu_senbanjo_the_sacred_art_of_the_ori
"""The Second Coming""",William Butler Yeats,May 2019,https://www.ted.com/talks/william_butler_yeats_the_second_coming
"""The Singularity""",Marie Howe,Jun 2019,https://www.ted.com/talks/marie_howe_the_singularity
"""The Woman in the Arena""",Gina Chavez,Aug 2022,https://www.ted.com/talks/gina_chavez_the_woman_in_the_arena
"""The [Uncertain] Four Seasons""",AKQA and Jung von Matt,Oct 2021,https://www.ted.com/talks/akqa_and_jung_von_matt_the_uncertain_four_seasons
"""This Town"" / ""Too Far Gone""",Hannah Fisher and Sorren Maclean,Feb 2022,https://www.ted.com/talks/hannah_fisher_and_sorren_maclean_this_town_too_far_gone
"""Three Months After""",Cristin O'Keefe Aptowicz,Jun 2019,https://www.ted.com/talks/cristin_o_keefe_aptowicz_three_months_after
"""To Make Use of Water""",Safia Elhillo,May 2019,https://www.ted.com/talks/safia_elhillo_to_make_use_of_water
