Name,Course,Sector,Links
3 money lessons from infamous scam artists,Afrika Afeni Mills,May 2023,https://www.ted.com/talks/j_mase_iii_3_money_lessons_from_infamous_scam_artists
3 moons and a planet that could have alien life,Adam Galinsky,Aug 2016,https://www.ted.com/talks/james_green_3_moons_and_a_planet_that_could_have_alien_life
3 myths about racism that keep the US from progress,Amir Nizar Zuabi,Jul 2021,https://www.ted.com/talks/candis_watts_smith_3_myths_about_racism_that_keep_the_us_from_progress
3 myths about the future of work (and why they're not true),Tania Douglas,Mar 2018,https://www.ted.com/talks/daniel_susskind_3_myths_about_the_future_of_work_and_why_they_re_not_true
3 principles for creating safer AI,Chetan Bhatt,May 2017,https://www.ted.com/talks/stuart_russell_3_principles_for_creating_safer_ai
3 psychological tricks to help you save money,Thea Holcomb,Jan 2019,https://www.ted.com/talks/wendy_de_la_rosa_3_psychological_tricks_to_help_you_save_money
3 questions to ask yourself about US citizenship,John C. Trimble,Aug 2020,https://www.ted.com/talks/jose_antonio_vargas_3_questions_to_ask_yourself_about_us_citizenship
3 questions to ask yourself about everything you do,Boris Hesser,Dec 2018,https://www.ted.com/talks/stacey_abrams_3_questions_to_ask_yourself_about_everything_you_do
3 questions to build resilience — and change the world,Steve Rothstein,Dec 2021,https://www.ted.com/talks/sister_true_dedication_3_questions_to_build_resilience_and_change_the_world
3 questions we should ask about nuclear weapons,Guy Winch,Nov 2019,https://www.ted.com/talks/emma_belcher_3_questions_we_should_ask_about_nuclear_weapons
3 reasons why we can win the fight against poverty,Pico Iyer,Jun 2016,https://www.ted.com/talks/andrew_youn_3_reasons_why_we_can_win_the_fight_against_poverty
3 rules for a zero-carbon world,Soraya Field Fiorio,Jul 2021,https://www.ted.com/talks/nigel_topping_3_rules_for_a_zero_carbon_world
3 rules for better work-life balance,Tanya Boucicaut,Sep 2021,https://www.ted.com/talks/ashley_whillans_3_rules_for_better_work_life_balance
3 rules to help you build a successful business,Children of Palau,Nov 2021,https://www.ted.com/talks/julissa_prado_3_rules_to_help_you_build_a_successful_business
3 secrets of resilient people,Dustin Tahmahkera,Jun 2020,https://www.ted.com/talks/lucy_hone_3_secrets_of_resilient_people
3 secrets to Netflix's success,Morra Aarons-Mele,Sep 2020,https://www.ted.com/talks/reed_hastings_3_secrets_to_netflix_s_success
3 skills every middle school boy needs,John Paget,Mar 2023,https://www.ted.com/talks/jerome_hunter_3_skills_every_middle_school_boy_needs
3 sneaky tactics that websites use to make you spend,Knut Ivar Bjørlykhaug,Feb 2021,https://www.ted.com/talks/wendy_de_la_rosa_3_sneaky_tactics_that_websites_use_to_make_you_spend
3 steps of anxiety overload — and how you can take back control,TED-Ed,Feb 2023,https://www.ted.com/talks/lisa_damour_3_steps_of_anxiety_overload_and_how_you_can_take_back_control
3 steps to build peace and create meaningful change,Gareth Thomas,Nov 2022,https://www.ted.com/talks/georgette_bennett_3_steps_to_build_peace_and_create_meaningful_change
